basename read.len gen.cov assem.kmer short.name num.contigs.in.set len.cutoff low.ci confidence high.ci
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 799 0 0.6382979 0.669587 0.7021277 
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 799 0 0.6369524 0.669587 0.6996245 
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 764 202 0.6662304 0.7002618 0.7316754 
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 711 313 0.718706 0.7510549 0.7834037 
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 663 490 0.7707391 0.800905 0.8310709 
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 622 690 0.8230305 0.8504823 0.8794212 
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 584 858 0.8767123 0.9006849 0.9246575 
EColik12CompleteGenome 150 4 21 EColik12CompleteGenome.150.4.21 533 1343 0.934334 0.9512195 0.9699812 
EColik12CompleteGenome 150 4 41 EColik12CompleteGenome.150.4.41 257 0 0.6731518 0.7237354 0.7782101 
EColik12CompleteGenome 150 4 41 EColik12CompleteGenome.150.4.41 247 203 0.7004049 0.7530364 0.8097166 
EColik12CompleteGenome 150 4 41 EColik12CompleteGenome.150.4.41 232 292 0.75 0.8017241 0.8534483 
EColik12CompleteGenome 150 4 41 EColik12CompleteGenome.150.4.41 218 477 0.8073394 0.853211 0.9036697 
EColik12CompleteGenome 150 4 41 EColik12CompleteGenome.150.4.41 203 1131 0.862069 0.9014778 0.9458128 
EColik12CompleteGenome 150 4 41 EColik12CompleteGenome.150.4.41 189 1599 0.9259259 0.952381 0.984127 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 151 0 0.5231788 0.5960265 0.6754967 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 151 0 0.5165563 0.5960265 0.6688742 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 149 246 0.5302013 0.6040268 0.6845638 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 137 281 0.5766423 0.6569343 0.7304745 
