Coverage	N50	Total Contigs	Name
0.825%	594	60	150-2-21
0.813%	898	35	150-2-41
0.425%	1543	6	150-2-61
0.023%	1056	1	150-2-81
97.638%	10521	863	150-4-21
98.088%	37758	258	150-4-41
97.418%	75500	152	150-4-61
0.368%	1283	5	150-4-81
0.153%	1081	5	150-4-101
0.023%	1056	1	150-4-121
97.929%	10533	851	150-7-21
98.420%	41805	235	150-7-41
97.586%	76203	148	150-7-61
97.394%	86568	124	150-7-81
93.977%	125651	99	150-7-101
0.078%	695	7	150-7-121
97.849%	10533	854	150-10-21
98.639%	41805	234	150-10-41
97.370%	75499	150	150-10-61
97.441%	86568	123	150-10-81
94.186%	125651	96	150-10-101
93.818%	125691	94	150-10-121
98.085%	10528	848	150-25-21
98.916%	41805	233	150-25-41
98.043%	76299	139	150-25-61
98.064%	86674	116	150-25-81
94.566%	124147	94	150-25-101
94.009%	125691	93	150-25-121
0.070%	1057	3	150-25-141
98.087%	10528	849	150-50-21
98.840%	41805	232	150-50-41
98.043%	76299	139	150-50-61
98.048%	86674	114	150-50-81
94.801%	124218	91	150-50-101
94.122%	125691	93	150-50-121
94.186%	134303	80	150-50-141
98.082%	10528	847	150-100-21
98.882%	41805	233	150-100-41
98.043%	76299	139	150-100-61
98.054%	86674	115	150-100-81
94.801%	124218	91	150-100-101
94.808%	124218	86	150-100-121
94.027%	133178	84	150-100-141
94.900%	123	34607	250-2-21
0.885%	795	41	250-2-41
0.508%	1283	13	250-2-61
0.442%	2937	4	250-2-81
0.060%	889	6	250-2-101
0.023%	1281	2	250-2-121
97.604%	10523	862	250-4-21
98.179%	41275	245	250-4-41
97.371%	75499	152	250-4-61
97.318%	86560	125	250-4-81
94.110%	125651	99	250-4-101
93.992%	125692	93	250-4-121
0.162%	1283	4	250-4-141
0.120%	1283	3	250-4-161
0.000%	1281	1	250-4-181
97.781%	10533	853	250-7-21
98.366%	41805	240	250-7-41
97.760%	76299	141	250-7-61
97.299%	86568	126	250-7-81
94.286%	125722	95	250-7-101
94.133%	125741	92	250-7-121
94.203%	134303	81	250-7-141
94.301%	133218	76	250-7-161
0.023%	1283	2	250-7-181
0.138%	1642	2	250-7-201
97.876%	10533	850	250-10-21
98.700%	41805	235	250-10-41
97.061%	76299	141	250-10-61
97.584%	86568	118	250-10-81
94.090%	125651	99	250-10-101
94.571%	125806	87	250-10-121
94.224%	134303	80	250-10-141
94.334%	134323	74	250-10-161
94.298%	134343	72	250-10-181
94.122%	156703	72	250-10-201
98.139%	10528	850	250-25-21
98.882%	41805	233	250-25-41
98.008%	76299	140	250-25-61
98.037%	86674	116	250-25-81
94.815%	124218	91	250-25-101
94.865%	124218	85	250-25-121
94.760%	135012	77	250-25-141
94.292%	133218	77	250-25-161
94.308%	133258	73	250-25-181
94.337%	156703	71	250-25-201
98.082%	10528	848	250-50-21
98.882%	41805	233	250-50-41
98.008%	76299	140	250-50-61
98.037%	86674	116	250-50-81
94.815%	124218	91	250-50-101
94.836%	124218	84	250-50-121
94.760%	135012	77	250-50-141
94.919%	135012	71	250-50-161
94.913%	135012	66	250-50-181
94.377%	156703	71	250-50-201
98.102%	10839	833	250-100-21
98.814%	41805	232	250-100-41
98.001%	76299	140	250-100-61
98.046%	86674	113	250-100-81
94.812%	124218	90	250-100-101
94.863%	124218	84	250-100-121
94.751%	135012	76	250-100-141
94.919%	135012	71	250-100-161
94.913%	135012	67	250-100-181
94.932%	156777	66	250-100-201
