@relation assembly_groups_no_bad_clustered

@attribute Instance_number numeric
@attribute Coverage numeric
@attribute N50 numeric
@attribute TotalContigs numeric
@attribute Name {150-10-121,150-7-101,250-4-121,150-25-121,150-100-141,250-10-101,250-4-101,150-50-121,250-10-201,250-7-121,150-50-141,150-10-101,250-7-141,250-10-141,250-7-101,250-25-161,250-10-181,250-7-161,250-25-181,250-10-161,250-25-201,250-50-201,150-25-101,250-10-121,250-100-141,250-25-141,250-50-141,150-50-101,150-100-101,150-100-121,250-100-101,250-25-101,250-50-101,250-50-121,250-100-121,250-25-121,250-100-181,250-50-181,250-100-161,250-50-161,250-100-201,250-10-61,250-7-81,250-4-81,150-10-61,250-4-61,150-7-81,150-4-61,150-10-81,250-10-81,150-7-61,250-4-21,150-4-21,250-7-61,250-7-21,150-10-21,250-10-21,150-7-21,250-100-61,250-25-61,250-50-61,250-25-81,250-50-81,150-25-61,150-50-61,150-100-61,250-100-81,150-50-81,150-100-81,150-25-81,250-50-21,150-100-21,150-25-21,150-50-21,150-4-41,250-100-21,250-25-21,250-4-41,250-7-41,150-7-41,150-10-41,250-10-41,250-100-41,150-50-41,250-25-41,250-50-41,150-100-41,150-25-41}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,0.941857,134303,80,150-50-141,cluster2
1,0.979295,10533,851,150-7-21,cluster1
2,0.980478,86674,114,150-50-81,cluster0
3,0.972994,86568,126,250-7-81,cluster0
4,0.973697,75499,150,150-10-61,cluster0
5,0.943084,133258,73,250-25-181,cluster2
6,0.977808,10533,853,250-7-21,cluster1
7,0.976375,10521,863,150-4-21,cluster1
8,0.943767,156703,71,250-50-201,cluster2
9,0.942979,134343,72,250-10-181,cluster2
10,0.980427,76299,139,150-100-61,cluster0
11,0.980819,10528,847,150-100-21,cluster1
12,0.974413,86568,123,150-10-81,cluster0
13,0.978764,10533,850,250-10-21,cluster1
14,0.980817,10528,848,250-50-21,cluster1
15,0.939919,125692,93,250-4-121,cluster2
16,0.980427,76299,139,150-25-61,cluster0
17,0.975843,86568,118,250-10-81,cluster0
18,0.988819,41805,233,250-25-41,cluster0
19,0.973185,86560,125,250-4-81,cluster0
20,0.945706,125806,87,250-10-121,cluster2
21,0.989156,41805,233,150-25-41,cluster0
22,0.988824,41805,233,150-100-41,cluster0
23,0.980008,76299,140,250-100-61,cluster0
24,0.986394,41805,234,150-10-41,cluster0
25,0.980373,86674,116,250-50-81,cluster0
26,0.948357,124218,84,250-50-121,cluster2
27,0.970608,76299,141,250-10-61,cluster0
28,0.980427,76299,139,150-50-61,cluster0
29,0.986998,41805,235,250-10-41,cluster0
