ReadLen GenCov Kmer Coverage N50 TotalContigs Name three.clusters four.clusters five.clusters
150 10 121 0.9381779 125691 94 150-10-121 3 2 3
150 7 101 0.9397720 125651 99 150-7-101 3 2 3
250 4 121 0.9399187 125692 93 250-4-121 3 2 3
150 25 121 0.9400910 125691 93 150-25-121 3 2 3
150 100 141 0.9402677 133178 84 150-100-141 3 2 3
250 10 101 0.9409023 125651 99 250-10-101 3 2 3
250 4 101 0.9411002 125651 99 250-4-101 3 2 3
150 50 121 0.9412153 125691 93 150-50-121 3 2 3
250 10 201 0.9412230 156703 72 250-10-201 3 1 5
250 7 121 0.9413301 125741 92 250-7-121 3 2 3
150 50 141 0.9418565 134303 80 150-50-141 3 2 3
150 10 101 0.9418578 125651 96 150-10-101 3 2 3
250 7 141 0.9420286 134303 81 250-7-141 3 2 3
250 10 141 0.9422389 134303 80 250-10-141 3 2 3
250 7 101 0.9428587 125722 95 250-7-101 3 2 3
250 25 161 0.9429225 133218 77 250-25-161 3 2 3
250 10 181 0.9429788 134343 72 250-10-181 3 2 3
250 7 161 0.9430135 133218 76 250-7-161 3 2 3
250 25 181 0.9430837 133258 73 250-25-181 3 2 3
250 10 161 0.9433440 134323 74 250-10-161 3 2 3
250 25 201 0.9433713 156703 71 250-25-201 3 1 5
250 50 201 0.9437667 156703 71 250-50-201 3 1 5
150 25 101 0.9456570 124147 94 150-25-101 3 2 3
250 10 121 0.9457056 125806 87 250-10-121 3 2 3
250 100 141 0.9475090 135012 76 250-100-141 3 2 3
250 25 141 0.9476008 135012 77 250-25-141 3 2 3
250 50 141 0.9476008 135012 77 250-50-141 3 2 3
150 50 101 0.9480082 124218 91 150-50-101 3 2 3
150 100 101 0.9480082 124218 91 150-100-101 3 2 3
150 100 121 0.9480764 124218 86 150-100-121 3 2 3
250 100 101 0.9481224 124218 90 250-100-101 3 2 3
250 25 101 0.9481533 124218 91 250-25-101 3 2 3
250 50 101 0.9481533 124218 91 250-50-101 3 2 3
250 50 121 0.9483567 124218 84 250-50-121 3 2 3
250 100 121 0.9486257 124218 84 250-100-121 3 2 3
250 25 121 0.9486522 124218 85 250-25-121 3 2 3
250 100 181 0.9491311 135012 67 250-100-181 3 2 3
250 50 181 0.9491333 135012 66 250-50-181 3 2 3
250 100 161 0.9491890 135012 71 250-100-161 3 2 3
250 50 161 0.9491912 135012 71 250-50-161 3 2 3
250 100 201 0.9493248 156777 66 250-100-201 3 1 5
250 10 61 0.9706077 76299 141 250-10-61 2 3 4
250 7 81 0.9729935 86568 126 250-7-81 2 3 2
250 4 81 0.9731846 86560 125 250-4-81 2 3 2
150 10 61 0.9736966 75499 150 150-10-61 2 3 4
250 4 61 0.9737079 75499 152 250-4-61 2 3 4
150 7 81 0.9739389 86568 124 150-7-81 2 3 2
150 4 61 0.9741775 75500 152 150-4-61 2 3 4
150 10 81 0.9744127 86568 123 150-10-81 2 3 2
250 10 81 0.9758427 86568 118 250-10-81 2 3 2
150 7 61 0.9758553 76203 148 150-7-61 2 3 4
250 4 21 0.9760422 10523 862 250-4-21 1 4 1
150 4 21 0.9763753 10521 863 150-4-21 1 4 1
250 7 61 0.9775963 76299 141 250-7-61 2 3 4
250 7 21 0.9778079 10533 853 250-7-21 1 4 1
150 10 21 0.9784927 10533 854 150-10-21 1 4 1
250 10 21 0.9787637 10533 850 250-10-21 1 4 1
150 7 21 0.9792949 10533 851 150-7-21 1 4 1
250 100 61 0.9800082 76299 140 250-100-61 2 3 4
250 25 61 0.9800760 76299 140 250-25-61 2 3 4
250 50 61 0.9800760 76299 140 250-50-61 2 3 4
250 25 81 0.9803733 86674 116 250-25-81 2 3 2
250 50 81 0.9803733 86674 116 250-50-81 2 3 2
150 25 61 0.9804274 76299 139 150-25-61 2 3 4
150 50 61 0.9804274 76299 139 150-50-61 2 3 4
150 100 61 0.9804274 76299 139 150-100-61 2 3 4
250 100 81 0.9804590 86674 113 250-100-81 2 3 2
150 50 81 0.9804784 86674 114 150-50-81 2 3 2
150 100 81 0.9805438 86674 115 150-100-81 2 3 2
150 25 81 0.9806364 86674 116 150-25-81 2 3 2
250 50 21 0.9808175 10528 848 250-50-21 1 4 1
150 100 21 0.9808190 10528 847 150-100-21 1 4 1
150 25 21 0.9808513 10528 848 150-25-21 1 4 1
150 50 21 0.9808749 10528 849 150-50-21 1 4 1
150 4 41 0.9808789 37758 258 150-4-41 1 4 1
250 100 21 0.9810196 10839 833 250-100-21 1 4 1
250 25 21 0.9813902 10528 850 250-25-21 1 4 1
250 4 41 0.9817936 41275 245 250-4-41 1 4 1
250 7 41 0.9836601 41805 240 250-7-41 1 4 1
150 7 41 0.9842041 41805 235 150-7-41 1 4 1
150 10 41 0.9863944 41805 234 150-10-41 1 4 1
250 10 41 0.9869983 41805 235 250-10-41 1 4 1
250 100 41 0.9881394 41805 232 250-100-41 1 4 1
150 50 41 0.9884033 41805 232 150-50-41 1 4 1
250 25 41 0.9888193 41805 233 250-25-41 1 4 1
250 50 41 0.9888226 41805 233 250-50-41 1 4 1
150 100 41 0.9888241 41805 233 150-100-41 1 4 1
150 25 41 0.9891557 41805 233 150-25-41 1 4 1
